Y,X1,X2,X12,X1SQ,X2SQ
2010,201,75,15075,40401,5625
1850,205,50,10250,42025,2500
2400,355,75,26625,126025,5625
1575,208,30,6240,43264,900
3550,590,75,44250,348100,5625
2015,397,50,19850,157609,2500
3908,820,75,61500,672400,5625
1870,400,30,12000,160000,900
4877,977,75,73275,954529,5625
2190,515,30,15450,265225,900
5005,996,75,74700,992016,5625
2500,625,50,31250,390625,2500
3005,860,50,43000,739600,2500
3480,1012,50,50600,1024144,2500
5500,1135,75,85125,1288225,5625
1995,635,30,19050,403225,900
2390,837,30,25110,700569,900
4390,1200,50,60000,1440000,2500
2785,990,30,29700,980100,900
2989,1205,30,36150,1452025,900
